room_type,month,neighbourhood,count,monthly_average
Hotel Room,"January, 2020",Annex,13,
Hotel Room,"January, 2020",Church-Yonge Corridor,2,
Hotel Room,"January, 2020",Dovercourt-Wallace Emerson-Junction,1,
Hotel Room,"January, 2020",Kensington-Chinatown,1,
Hotel Room,"January, 2020",Moss Park,9,
Hotel Room,"January, 2020",Niagara,1,
Hotel Room,"January, 2020",Roncesvalles,1,
Hotel Room,"January, 2020",South Parkdale,13,
Hotel Room,"January, 2020",Trinity-Bellwoods,2,
Hotel Room,"January, 2020",University,11,
Hotel Room,"January, 2020",Waterfront Communities-The Island,18,
Hotel Room,"January, 2020",Willowdale East,4,
Private Room,"January, 2020",Agincourt North,42,
Private Room,"January, 2020",Agincourt South-Malvern West,69,202.1597052
Private Room,"January, 2020",Alderwood,11,74.69325153
Private Room,"January, 2020",Annex,163,54.3902439
Private Room,"January, 2020",Banbury-Don Mills,32,
Private Room,"January, 2020",Bathurst Manor,54,
Private Room,"January, 2020",Bay Street Corridor,143,
Private Room,"January, 2020",Bayview Village,53,
Private Room,"January, 2020",Bayview Woods-Steeles,55,
Private Room,"January, 2020",Bedford Park-Nortown,10,
Private Room,"January, 2020",Beechborough-Greenbrook,6,
Private Room,"January, 2020",Bendale,22,
Private Room,"January, 2020",Birchcliffe-Cliffside,43,90.89655172
Private Room,"January, 2020",Black Creek,18,
Private Room,"January, 2020",Blake-Jones,26,99.49350649
Private Room,"January, 2020",Briar Hill-Belgravia,41,99.49350649
Private Room,"January, 2020",Bridle Path-Sunnybrook-York Mills,11,99.49350649
Private Room,"January, 2020",Broadview North,15,68.41401274
Private Room,"January, 2020",Brookhaven-Amesbury,24,
Private Room,"January, 2020",Cabbagetown-South St.James Town,161,99.49350649
Private Room,"January, 2020",Caledonia-Fairbank,23,
Private Room,"January, 2020",Casa Loma,27,
Private Room,"January, 2020",Centennial Scarborough,9,
Private Room,"January, 2020",Church-Yonge Corridor,178,54.3902439
Private Room,"January, 2020",Clairlea-Birchmount,59,
Private Room,"January, 2020",Clanton Park,26,
Private Room,"January, 2020",Cliffcrest,19,
Private Room,"January, 2020",Corso Italia-Davenport,70,
Private Room,"January, 2020",Danforth,48,
Private Room,"January, 2020",Danforth East York,32,
Private Room,"January, 2020",Don Valley Village,86,
Private Room,"January, 2020",Dorset Park,42,84.30952381
Private Room,"January, 2020",Dovercourt-Wallace Emerson-Junction,228,
Private Room,"January, 2020",Downsview-Roding-CFB,79,
Private Room,"January, 2020",Dufferin Grove,56,
Private Room,"January, 2020",East End-Danforth,57,
Private Room,"January, 2020",Edenbridge-Humber Valley,12,202.1597052
Private Room,"January, 2020",Eglinton East,29,
Private Room,"January, 2020",Elms-Old Rexdale,11,
Private Room,"January, 2020",Englemount-Lawrence,20,63.83544304
Private Room,"January, 2020",Eringate-Centennial-West Deane,23,
Private Room,"January, 2020",Etobicoke West Mall,15,
Private Room,"January, 2020",Flemingdon Park,22,
Private Room,"January, 2020",Forest Hill North,20,
Private Room,"January, 2020",Forest Hill South,6,
Private Room,"January, 2020",Glenfield-Jane Heights,33,
Private Room,"January, 2020",Greenwood-Coxwell,53,
Private Room,"January, 2020",Guildwood,15,68.81818182
Private Room,"January, 2020",Henry Farm,28,
Private Room,"January, 2020",High Park North,48,
Private Room,"January, 2020",High Park-Swansea,57,
Private Room,"January, 2020",Highland Creek,30,
Private Room,"January, 2020",Hillcrest Village,56,185.2191011
Private Room,"January, 2020",Humber Heights-Westmount,8,
Private Room,"January, 2020",Humber Summit,7,
Private Room,"January, 2020",Humbermede,17,97.1048951
Private Room,"January, 2020",Humewood-Cedarvale,30,
Private Room,"January, 2020",Ionview,26,
Private Room,"January, 2020",Islington-City Centre West,118,
Private Room,"January, 2020",Junction Area,50,
