id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price_x,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price_y,price_x2,price_y3,price_x4,price_y5,price_x6,price_y7,price_x8,price_y9,price_x10,price_y11,price_x12,price_y13,price_x14,price_y15
29453607,The Toy Loft,29522076,Ian,,Weston-Pellam Park,43.66934,-79.46067,Entire home/apt,75,1,36,2020-01-06,2.44,1,6,76,75,76,75,75,75,94,94,83,87,83,88,83,83,83
29456588,Big Beautiful Loft By The Beach,220760685,Sonia,,East End-Danforth,43.68146,-79.28683,Entire home/apt,125,14,5,2019-12-15,0.35,1,311,125,128,129,150,150,150,150,150,130,132,110,70,120,130,115
179578,Furnished 1+1 bed Condo Apartment,545074,Sohail,,Woburn,43.78076,-79.24788,Entire home/apt,80,2,0,,,2,0,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
29461000,"Prime Location Loft in Downtown I
Queen/King WestI",209666129,Natalija,,Waterfront Communities-The Island,43.64764,-79.39611,Entire home/apt,99,1,123,2020-01-02,8.44,2,132,99,99,99,98,99,99,128,147,132,139,124,90,90,90,92
273304,In the heart of Toronto downtown!,1409872,Ravish,,Church-Yonge Corridor,43.6605,-79.38057,Private room,173,2,0,,,1,0,176,184,186,187,178,180,176,176,175,177,170,169,170,168,167
29462697,Comfy bed in our sunlit living room,152088065,Gennadi,,Malvern,43.80397,-79.22727,Shared room,19,28,9,2019-07-31,0.62,61,360,20,19,20,20,20,20,14,14,14,14,14,14,14,14,14
325432,"Great 'hood, no car needed, 3.5br",1664812,Mark,,High Park North,43.66205,-79.4561,Entire home/apt,259,5,0,,,1,0,260,260,261,260,260,260,260,260,260,260,260,260,260,260,260
29480423,Toronto Luxury Versace Loft 10 mins from CN Tower,165119045,Yinka,,Mimico (includes Humber Bay Shores),43.62397,-79.48754,Entire home/apt,150,1,74,2020-01-02,5.81,1,328,150,151,150,150,150,150,150,139,143,152,126,128,146,169,149
29480643,Modern & Clean 1 Bed Quiet Greektown - Entire Unit,222036210,Kyle,,Danforth East York,43.68619,-79.3394,Entire home/apt,130,2,23,2019-12-18,1.65,1,180,130,130,130,129,130,131,70,70,70,70,70,70,70,70,70
29490606,Private One Bedroom Suite - steps to subway,113022490,Shawn,,Danforth,43.6856,-79.31427,Entire home/apt,77,1,46,2020-01-05,4.86,1,220,76,76,76,76,76,76,62,65,72,72,72,65,64,64,64
29494404,Cozy place in heart of leslieville,4061364,Kaye,,Greenwood-Coxwell,43.67085,-79.32023,Private room,32,2,36,2019-05-27,2.51,1,0,32,32,32,32,32,33,45,45,45,45,45,45,45,45,45
29506181,1 bed Modern Apartment in Downtown Toronto,222200308,Jennifer,,Waterfront Communities-The Island,43.64463,-79.40095,Entire home/apt,119,2,26,2020-01-01,1.81,1,5,121,120,120,119,121,120,175,175,175,175,169,120,120,120,120
29507202,Entire 3 Bedrooms Condo @Yonge-Finch intersect,222206035,Bez,,Willowdale West,43.77748,-79.41556,Private room,150,1,7,2019-03-02,0.48,1,0,150,151,150,149,150,151,180,180,180,180,180,180,180,180,180
361831,Townhome/Condo at The Mona Lisa,1828773,Silvana,,Willowdale East,43.77873,-79.41245,Private room,140,7,0,,,1,365,141,139,140,141,139,140,140,140,140,140,140,140,140,140,140
29509825,Trendy Queen West loft for 6,105269100,Shalini,,Trinity-Bellwoods,43.64595,-79.41367,Entire home/apt,150,1,11,2019-12-17,0.79,7,59,150,151,149,150,150,150,125,110,105,98,108,102,128,135,150
29512805,Cozy one Bedroom + Den Secondary Unit,222245477,Reza,,Bayview Woods-Steeles,43.79895,-79.37666,Entire home/apt,80,2,55,2020-01-03,4.08,1,73,80,80,80,80,80,80,70,62,76,53,60,70,65,55,60
29514326,❤  Downtown Toronto 3 Bedroom on Queen Street W❤,785826,Arlene,,Bay Street Corridor,43.64942,-79.3862,Entire home/apt,198,3,17,2019-12-03,1.33,34,26,199,199,199,199,199,199,150,150,150,150,150,150,150,150,150
493281,Prestigious Wychwood Park Studio CA,2432916,Denise,,Wychwood,43.67775,-79.42171,Private room,75,3,0,,,1,5,76,75,76,75,75,75,65,65,65,65,65,65,65,65,65
